,頻道名,網址,類別,icon
0,Jay Lee Painting,https://www.youtube.com/channel/UCHm9SiOLG8UoBT8STWY5mVA/videos,教育,https://yt3.ggpht.com/ytc/AKedOLRNvRTdzbpQUa7ROEYBnlfw69M3R7GyKokPFax69Ig=s900-c-k-c0x00ffffff-no-rj
1,Vidol TV,https://www.youtube.com/channel/UCTQ-gSOpuLtgQarXw3XVmyQ/videos,娛樂,https://yt3.ggpht.com/sJLMAufepJ8iGVeibOM4Pfen3BqUninNy4qVTzC1YUoqr5KYRfSNHs11NeGQV-E9WfPWq-o01Q=s900-c-k-c0x00ffffff-no-rj
2,葉式特工 Yes Ranger ,https://www.youtube.com/channel/UCXpxKdZAiyUEaTkoCPpEZzg/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLRPE_S_VV7EGZsfH-YZZBqzwS8_nW-QM-ICd9SC=s900-c-k-c0x00ffffff-no-rj
3,Songsong and Ermao,https://www.youtube.com/channel/UCA2qvunXtkK3SUVxfOGiobA/videos,日常知識,https://yt3.ggpht.com/zsSL35MMQEETD2p9_2P4SnIbkED1pz0S8z9mc6U0NKtlH_qFx3ez06z9W_NTWoaIK2APg3fRaA=s900-c-k-c0x00ffffff-no-rj
4,這群人TGOP,https://www.youtube.com/channel/UC6FcYHEm7SO1jpu5TKjNXEA/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLS5mCzT-Fpg25isdnYSyYh7ynecVuZXg4bHk14s2g=s900-c-k-c0x00ffffff-no-rj
5,Omeleto,https://www.youtube.com/channel/UCTMt7iMWa7jy0fNXIktwyLA/videos,電影動漫,https://yt3.ggpht.com/ytc/AKedOLRnscd4fpGxtKumb6cy9TRNoGdUVt-LVKLL-b-LuQ=s900-c-k-c0x00ffffff-no-rj
6,滾石唱片 ROCK RECORDS,https://www.youtube.com/channel/UCPcF3KTqhD67ADkukx_OeDg/videos,音樂,https://yt3.ggpht.com/M4g78pej-KSRGPOkpETW2avf52WkEcCFQMpAzLg3Oky4CgLy2cThkxFAJlpq_pC62t3NSgo4eg=s900-c-k-c0x00ffffff-no-rj
7,Pan Piano,https://www.youtube.com/channel/UCI7ktPB6toqucpkkCiolwLg/videos,音樂,https://yt3.ggpht.com/ytc/AKedOLR5KDrFL0d_sUPoJgDZYcDQ6e8TO-xESARtHvTxfg=s900-c-k-c0x00ffffff-no-rj
8,NewShowBiz完全娛樂,https://www.youtube.com/channel/UCX9VHpN62jkqCCntHxymPOA/videos,娛樂,https://yt3.ggpht.com/gwboOM07jUz2Mm-B3nnKWK5reahqhUkP--56JMYzezUtcLj1bEs_2YrV_Em_6ERnv7qUyJ2h=s900-c-k-c0x00ffffff-no-rj
9,碰碰狐 (兒童兒歌・故事),https://www.youtube.com/channel/UCrLO-yoAu4ZTzRSdmWqS53A/videos,教育,https://yt3.ggpht.com/ytc/AKedOLT5RoWZ00711wyV7f-T37iA0P3DDF4q1pY8iY4hAQ=s900-c-k-c0x00ffffff-no-rj
10,寶寶巴士 - 中文兒歌童謠 - 卡通動畫,https://www.youtube.com/user/babybus1000/videos,教育,https://yt3.ggpht.com/ytc/AKedOLR6QL6XPnVyiuMFEgRcNolSMC7CitLLcqHy-O9U8g=s900-c-k-c0x00ffffff-no-rj
11,阿神,https://www.youtube.com/c/charlie615119/videos,遊戲,https://yt3.ggpht.com/ytc/AKedOLR08M13pcTWPSL8Rdd3uhv4ycYUJ_RAaTZHWS6DnA=s900-c-k-c0x00ffffff-no-rj
